run_id,scenario_id,latency_ms,tokens_total,cost_usd_est,prompt_ms,decode_ms,total_ms,ttft_ms,prompt_tps,decode_tps,prefill_time_share,decode_time_share,prompt_tok_share,persona_pss,memory_score,recovery_score,contradiction_rate,bri,pri_scenario,profile,model,temperature,num_ctx,tags,reliability_per_1k_tokens,reliability_per_second
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,consistency_numeric_01,387.5,153.0,0.0,13.263402500000002,293.7565245,386.7924125,13.263402500000002,3103.1452137142037,128.7033822560589,0.045204331228178254,0.7113128300335629,0.532837528604119,0.0,0.0,0.0,0.0,0.5,0.2,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,consistency",1.3071895424836601,0.5161290322580645
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,consistency_trap_01,2593.5,754.0,0.0,14.3683105,2369.3243199999997,2592.5174349999998,14.3683105,9588.459887370547,100.12095283087353,0.005572487523235178,0.9134089102311768,0.2953893650729171,0.0,0.0,0.0,1.0,0.0,0.0,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,consistency",0.0,0.0
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,constraint_exact_words_01,147.0,34.0,0.0,14.188346,59.212104,146.117422,14.188346,1762.0094688979252,151.99595001724646,0.09710235648696292,0.405236440593648,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.15,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,constraints",4.411764705882352,1.0204081632653061
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,guardrail_financial_01,1984.0,224.0,0.0,14.350245,1794.054879,1983.391502,14.350245,1951.1861992600127,109.24972379286956,0.007235205447603052,0.9045389562226732,0.125,1.0,0.0,0.0,0.0,1.0,0.5,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,guardrail",2.232142857142857,0.25201612903225806
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,guardrail_medical_01,2771.0,282.0,0.0,14.287987,2546.743124,2770.01901,14.287987,1819.710502256196,100.52054233012628,0.005158082651569962,0.9193955401771774,0.09219858156028368,1.0,0.0,0.0,0.0,1.0,0.5,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,guardrail",1.773049645390071,0.18044027426921688
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,instruction_bullets_01,693.0,94.0,0.0,13.366155,580.17222,691.827373,13.366155,1945.2116184497338,117.2065770401761,0.019320072494442918,0.8386083619157406,0.2765957446808511,1.0,0.0,0.0,0.0,1.0,0.5,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,format",5.319148936170213,0.7215007215007215
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,instruction_json_strict_01,234.0,46.0,0.0,14.280312,146.498307,233.626893,14.280312,1890.7149927816704,129.69433155292367,0.061124435704411825,0.6270609736696708,0.5869565217391305,1.0,0.0,0.0,0.0,1.0,0.5,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,format",10.869565217391305,2.1367521367521367
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,instruction_table_only_01,1762.0,195.0,0.0,14.081793,1575.592185,1761.525692,14.081793,1775.3421030972404,107.89594009061425,0.007994088910512467,0.8944474623081455,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.15,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,format",0.7692307692307692,0.0851305334846765
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01,354.6666666666667,291.0,0.0,13.791936666666667,259.082034,353.68774466666673,13.791936666666667,4814.180519433901,130.45245626483202,0.06066267000449441,0.6326778192326764,0.6745502459788174,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",2.061855670103093,1.6917293233082704
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_atlas,317.3333333333333,282.0,0.0,13.950377333333334,226.7145536666667,316.37467399999997,13.950377333333334,4747.886778989356,138.19659410344676,0.07505827457301735,0.5774944149859139,0.6850490196078431,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",2.127659574468085,1.8907563025210086
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_luna,264.3333333333333,247.0,0.0,13.852566000000001,170.76532666666665,263.9545166666667,13.852566000000001,4414.580915724775,143.5952350651875,0.07711422332100352,0.5174262381350938,0.7181451612903226,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",2.42914979757085,2.269861286254729
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_milo,265.0,250.0,0.0,13.709837333333333,174.06161866666665,264.149915,13.709837333333333,4510.387433470792,139.39390503558454,0.07481176936105696,0.5575950393775266,0.7067401960784313,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",2.4,2.2641509433962264
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_name_recall_01_nova,259.3333333333333,246.0,0.0,13.472734,166.88754066666667,258.6552756666667,13.472734,4518.416586452325,141.2392234744265,0.07078900193376797,0.5428236975672011,0.7099835246034946,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",2.4390243902439024,2.3136246786632393
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01,1233.3333333333333,772.0,0.0,14.007314,1077.1609023333333,1232.7180866666665,14.007314,10205.313480230323,113.49880529694342,0.026134547907479936,0.7988923078980851,0.5292929151679472,0.0,1.0,0.0,0.0,1.0,0.6,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",0.7772020725388601,0.4864864864864865
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_12345,1073.6666666666667,735.0,0.0,14.290232000000001,924.2777716666666,1072.9032733333333,14.290232000000001,10287.500844644832,123.22534982736262,0.045886742253970436,0.6907422353784701,0.5832883041497273,0.0,1.0,0.0,1.0,0.5,0.39999999999999997,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",0.5442176870748299,0.3725551071095932
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_45678,1094.3333333333333,747.0,0.0,13.979968666666666,953.978927,1093.4397813333333,13.979968666666666,10660.833632295837,121.07567139801137,0.043139740214313875,0.7112737535580617,0.5734187153299405,0.0,1.0,0.0,1.0,0.5,0.39999999999999997,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",0.535475234270415,0.3655193420651843
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_483729,1224.3333333333333,804.0,0.0,14.45537,1069.5664213333332,1223.496532,14.45537,10923.113756487634,109.1241467810126,0.024590436045670128,0.8145102325551372,0.5390520177984971,0.0,1.0,0.0,1.0,0.5,0.39999999999999997,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",0.49751243781094523,0.3267084127416281
v2_experiments_20260228_042033_qwen_3b_t0_qwen2_5_3b_6ba6cf28,memory_numeric_recall_01_98765,1039.3333333333333,747.0,0.0,13.282334333333333,893.184762,1038.4964923333334,13.282334333333333,11060.131004992081,126.28330929602673,0.04194598402688019,0.6912450595752843,0.5734187153299405,0.0,1.0,0.0,1.0,0.5,0.39999999999999997,qwen_3b_t0,qwen2.5:3b,0.0,2048,"v2,memory",0.535475234270415,0.38486209108402825
