run_id,scenario_id,turn_index,mcs_turn
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_08,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_08,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_08,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_18,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_18,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_18,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_04,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_04,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_04,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_05,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_05,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_05,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_15,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_15,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_15,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_13,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_13,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_13,9,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_12,3,1
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_12,7,0
v2_experiments_ctx_cliff_20260227_235258_qwen_14b_t0_qwen2_5_14b_0a5125c9,ctx_cliff_pin_recall_12,9,0
